CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060101062572,2006,55,1,90,10,2,1,50101,285,5,7:15:00
20060101062572,2006,55,1,90,10,2,1,50101,275,5,12:55:00
20060110050655,2006,6,1,45,0,97,2,50101,300,0,8:00:00
20060110050655,2006,6,1,45,0,97,2,50101,150,0,14:30:00
20060110051545,2006,34,1,0,20,1,1,50101,90,0,8:00:00
20060110051545,2006,34,1,0,20,1,1,50101,140,0,9:40:00
20060110051545,2006,34,1,0,20,1,1,50101,15,0,12:05:00
20060110051545,2006,34,1,0,20,1,1,50101,1,0,21:06:00
20060110051869,2006,40,1,120,15,1,1,50101,5,0,10:55:00
20060110051916,2006,42,1,20,15,2,1,60101,90,0,18:30:00
20060110051916,2006,42,1,20,15,2,1,60101,30,0,20:15:00
20060110052485,2006,45,1,120,0,96,2,50101,220,0,9:50:00
20060110052485,2006,45,1,120,0,96,2,50101,15,0,13:45:00
20060110052485,2006,45,1,120,0,96,2,50101,30,0,14:04:00
20060110052485,2006,45,1,120,0,96,2,50101,202,0,14:38:00
20060110052485,2006,45,1,120,0,96,2,50101,45,0,20:00:00
20060111050076,2006,32,1,115,0,2,2,50101,315,0,15:45:00
20060111050076,2006,32,1,115,0,2,2,50101,285,0,21:45:00
20060111050076,2006,32,1,115,0,2,2,50101,45,0,2:45:00
20060111050088,2006,36,1,55,0,2,2,50101,270,0,16:00:00
20060111050088,2006,36,1,55,0,2,2,50101,90,0,21:00:00
20060111050088,2006,36,1,55,0,2,2,50101,50,0,22:40:00
20060111050505,2006,1,1,0,10,1,1,50101,480,0,10:15:00
20060111050524,2006,1,1,40,5,1,1,50101,235,5,15:05:00
20060111050524,2006,1,1,40,5,1,1,50101,115,0,19:20:00
20060111050524,2006,1,1,40,5,1,1,50101,90,0,21:30:00
20060111050532,2006,2,1,47,30,1,1,50101,235,0,7:55:00
20060111050532,2006,2,1,47,30,1,1,50101,25,0,12:35:00
20060111050532,2006,2,1,47,30,1,1,50101,150,0,13:00:00
20060111050535,2006,4,1,75,0,2,2,50101,280,0,7:20:00
20060111050535,2006,4,1,75,0,2,2,50101,205,0,13:05:00
20060111050554,2006,4,1,60,0,2,2,50101,147,0,11:03:00
20060111050554,2006,4,1,60,0,2,2,50101,75,0,13:45:00
20060111050556,2006,4,1,75,0,2,2,50101,120,0,5:32:00
20060111050556,2006,4,1,75,0,2,2,50101,233,0,7:37:00
20060111050556,2006,4,1,75,0,2,2,50101,180,0,12:10:00
20060111050556,2006,4,1,75,0,2,2,50101,40,0,15:20:00
20060111050570,2006,5,1,15,10,1,1,50101,295,0,7:05:00
20060111050570,2006,5,1,15,10,1,1,50101,235,10,13:05:00
20060111050601,2006,6,1,20,55,1,1,50101,10,0,14:18:00
20060111050621,2006,6,1,50,4,2,1,50101,150,0,7:30:00
20060111050621,2006,6,1,50,4,2,1,50101,135,0,10:15:00
20060111050621,2006,6,1,50,4,2,1,50101,120,0,12:59:00
20060111050621,2006,6,1,50,4,2,1,50101,46,0,15:14:00
