TUCASEID,t110101
20160201161250,20
20160201161251,10
20160201161261,60
20160201161262,30
20160201161264,145
20160201161268,65
20160201161269,150
20160201161271,75
20160201161272,70
20160201161275,25
20160201161277,30
20160201161278,155
20160201161282,45
20160201161286,60
20160201161289,125
20160201161291,15
20160201161292,235
20160201161293,30
20160201161297,75
20160201161299,20
20160201161303,30
20160201161309,55
20160201161315,90
20160201161322,105
20160201161326,15
20160201161336,115
20160201161337,70
20160201161344,30
20160201161345,30
20160201161346,120
20160201161347,75
20160201161349,20
20160201161352,40
20160201161356,35
20160201161360,25
20160201161362,130
20160201161369,125
20160201161377,45
20160201161378,90
20160201161379,90
20160201161382,85
20160201161392,60
20160201161393,60
20160201161396,48
20160201161398,0
20160201161402,75
20160201161403,30
20160201161404,30
20160201161406,80
20160201161409,45
20160201161413,20
20160201161421,25
20160201161427,75
20160201161428,150
20160201161430,60
20160201161431,15
20160201161433,125
20160201161434,40
20160201161440,30
20160201161441,45
20160201161443,155
20160201161454,45
20160201161458,30
20160201161465,80
20160201161469,90
20160201161471,75
20160201161475,60
20160201161476,60
20160201161483,40
20160201161486,75
20160201161493,180
20160201161495,40
20160201161503,40
20160201161515,30
20160201161516,115
20160201161524,60
20160201161529,90
20160201161532,105
20160201161536,30
20160201161539,40
20160201161551,150
20160201161553,30
20160201161554,60
20160201161558,90
20160201161566,45
20160201161567,45
20160201161570,10
20160201161576,30
20160201161578,70
20160201161581,60
20160201161585,15
20160201161586,100
20160201161587,30
20160201161589,135
20160201161593,5
20160201161599,30
20160201161600,105
20160201161604,90
20160201161611,15
20160201161612,35
20160201161616,60
20160201161620,45
20160201161637,20
20160201161643,50
20160201161646,60
20160201161649,0
20160201161652,255
20160201161654,40
20160201161659,45
20160201161660,10
20160201161662,98
20160201161663,20
20160201161666,105
20160201161667,125
20160201161670,3
20160201161672,35
20160201161676,45
20160201161677,30
20160201161682,105
20160201161692,15
20160201161693,30
20160201161697,95
20160201161698,75
20160201161728,30
20160201161731,40
20160201161734,20
20160201161735,90
20160201161745,80
20160201161748,40
20160201161751,280
20160201161755,60
20160201161757,40
20160201161758,45
20160201161761,10
20160201161763,180
20160201161767,50
20160201161769,60
20160201161770,65
20160201161776,0
20160201161783,100
20160201161786,137
20160201161789,65
20160201161797,120
20160201161803,0
20160201161810,130
20160201161813,60
20160201161814,50
20160201161815,20
20160201161817,20
20160201161823,45
20160201161825,60
20160201161831,30
20160201161835,65
20160201161837,90
20160201161840,150
20160201161842,40
20160201161843,65
20160201161845,170
20160201161854,75
20160201161857,345
20160201161859,60
20160201161860,75
20160201161869,0
20160201161874,70
20160201161877,35
20160201161885,30
20160201161888,75
20160201161892,105
20160201161893,40
20160201161894,0
20160201161896,0
20160201161897,40
20160201161901,130
20160201161904,15
20160201161905,190
20160201161910,30
20160201161914,35
20160201161915,50
20160201161921,120
20160201161925,120
20160201161929,0
20160201161930,100
20160201161932,60
20160201161935,40
20160201161937,90
20160201161940,23
20160201161941,130
20160201161944,105
20160201161946,53
20160201161948,90
20160201161951,10
20160201161952,80
20160201161955,130
20160201161957,84
20160201161958,70
20160201161962,30
20160201161968,90
20160201161973,75
20160201161974,185
20160201161977,45
20160201161980,40
20160201161984,60
20160201161985,60
20160201161986,88
20160201161987,35
20160201161992,30
20160201161994,65
20160201161995,19
20160201161996,10
20160201162000,60
20160201162001,75
20160201162005,55
20160201162008,45
20160201162016,60
20160201162018,30
20160201162021,80
20160201162024,105
20160201162025,115
20160201162028,70
20160201162036,71
20160201162037,65
20160201162043,50
20160201162045,120
20160201162050,60
20160201162054,130
20160201162060,60
20160201162065,70
20160201162070,15
20160201162073,30
20160201162075,45
20160201162076,120
20160201162085,120
20160201162087,10
20160201162102,280
20160201162107,0
20160201162109,30
20160201162112,180
20160201162114,60
20160201162118,75
20160201162120,75
20160201162125,56
20160201162128,104
20160201162131,40
20160201162135,120
20160201162136,60
20160201162139,30
20160201162144,180
20160201162151,120
20160201162152,65
20160201162155,60
20160201162158,75
