CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605061395,2006,26,40,10,1,50101,180,12:30:00
20060605061399,2006,26,200,0,2,50101,60,16:00:00
20060605061416,2006,27,20,10,1,50101,160,14:20:00
20060605061418,2006,27,0,0,2,50101,660,7:00:00
20060605061423,2006,27,10,0,2,50101,360,7:00:00
20060605061423,2006,27,10,0,2,50101,210,14:00:00
20060605061429,2006,27,30,30,1,50399,360,8:00:00
20060605061435,2006,27,60,10,1,50101,270,7:30:00
20060605061435,2006,27,60,10,1,50101,210,12:30:00
20060605061440,2006,28,75,0,2,50101,255,7:45:00
20060605061440,2006,28,75,0,2,50101,300,13:00:00
20060605061459,2006,29,90,2,1,50101,10,22:00:00
20060605061460,2006,29,0,0,2,50101,90,20:30:00
20060605061461,2006,29,40,5,1,50101,232,7:48:00
20060605061461,2006,29,40,5,1,50101,130,12:20:00
20060605061461,2006,29,40,5,1,50101,160,14:50:00
20060605061461,2006,29,40,5,1,50102,238,17:47:00
20060605061462,2006,29,25,0,2,50101,60,10:00:00
20060605061462,2006,29,25,0,2,50101,165,11:15:00
20060605061462,2006,29,25,0,2,50101,20,21:00:00
20060605061496,2006,29,30,5,1,50101,363,15:57:00
20060605061503,2006,30,95,0,2,50101,300,7:00:00
20060605061503,2006,30,95,0,2,50101,270,12:15:00
20060605061505,2006,31,55,0,2,50101,180,6:38:00
20060605061505,2006,31,55,0,2,50101,167,10:13:00
20060605061505,2006,31,55,0,2,50101,121,13:29:00
20060605061506,2006,31,75,151,1,50101,30,6:50:00
20060605061506,2006,31,75,151,1,50101,205,7:35:00
20060605061506,2006,31,75,151,1,50101,70,11:20:00
20060605061506,2006,31,75,151,1,50101,45,14:15:00
20060605061512,2006,31,100,10,1,50101,205,8:20:00
20060605061514,2006,31,60,0,2,50101,375,5:15:00
20060605061514,2006,31,60,0,2,50101,270,12:30:00
20060605061515,2006,31,120,5,1,50101,180,14:10:00
20060605061539,2006,34,105,5,1,50101,250,7:50:00
20060605061539,2006,34,105,5,1,50101,135,12:45:00
20060605061553,2006,34,90,0,2,50101,180,9:00:00
20060605061553,2006,34,90,0,2,50101,180,13:00:00
20060605061559,2006,34,35,0,2,50101,10,5:39:00
20060605061559,2006,34,35,0,2,50101,26,6:04:00
20060605061559,2006,34,35,0,2,50101,250,7:00:00
