CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060112051287,2006,24,50,0,300
20060112051297,2006,24,16,8,80
20060112051313,2006,25,0,0,60
20060112051315,2006,25,30,0,30
20060112051325,2006,25,60,10,90
20060112051332,2006,25,60,0,10
20060112051341,2006,25,60,5,480
20060112051350,2006,26,0,0,300
20060112051351,2006,26,30,5,60
20060112051365,2006,26,0,0,180
20060112051369,2006,26,645,215,180
20060112051370,2006,26,0,0,195
20060112051378,2006,26,45,0,45
20060112051387,2006,26,0,0,20
20060112051390,2006,26,11,0,35
20060112051391,2006,26,0,0,280
20060112051395,2006,26,60,15,120
20060112051407,2006,26,0,0,130
20060112051421,2006,27,0,0,140
20060112051423,2006,27,45,0,75
20060112051427,2006,27,60,0,135
20060112051433,2006,27,10,5,100
20060112051438,2006,28,15,0,180
20060112051441,2006,28,30,5,270
20060112051442,2006,28,0,0,30
20060112051445,2006,28,0,0,325
20060112051446,2006,28,20,0,240
20060112051447,2006,28,0,0,600
20060112051449,2006,28,0,0,40
20060112051450,2006,28,10,5,64
20060112051452,2006,28,15,0,135
20060112051453,2006,28,30,0,210
20060112051459,2006,29,60,10,200
20060112051460,2006,29,31,1,70
20060112051467,2006,29,8,4,180
20060112051472,2006,29,0,0,140
20060112051474,2006,29,0,0,300
20060112051477,2006,29,5,0,60
20060112051480,2006,29,4,0,126
20060112051494,2006,30,0,0,165
20060112051495,2006,30,15,5,315
20060112051502,2006,31,0,0,440
20060112051509,2006,31,840,280,90
20060112051510,2006,31,0,0,268
20060112051514,2006,32,8,2,240
20060112051520,2006,32,0,0,30
20060112051523,2006,33,50,0,60
20060112051528,2006,34,0,0,560
20060112051529,2006,34,10,5,100
20060112051535,2006,34,125,120,25
20060112051536,2006,34,0,0,35
20060112051549,2006,34,10,5,190
20060112051550,2006,34,0,0,15
20060112051551,2006,34,0,0,150
20060112051559,2006,34,10,10,40
20060112051562,2006,34,0,0,120
20060112051567,2006,34,740,260,90
20060112051576,2006,34,30,10,50
20060112051579,2006,35,120,0,120
20060112051582,2006,35,0,0,80
20060112051586,2006,35,2,1,60
20060112051591,2006,35,0,0,130
20060112051592,2006,36,0,0,0
20060112051603,2006,36,5,0,20
20060112051609,2006,36,0,0,90
20060112051636,2006,36,5,0,30
20060112051647,2006,36,105,15,90
20060112051652,2006,36,30,30,30
20060112051658,2006,36,0,0,150
20060112051664,2006,36,10,0,140
20060112051669,2006,36,0,0,160
20060112051673,2006,36,135,0,135
20060112051675,2006,36,0,0,182
20060112051679,2006,36,30,0,80
20060112051692,2006,36,20,15,30
20060112051697,2006,36,15,15,15
20060112051701,2006,36,0,0,525
20060112051706,2006,36,0,0,190
20060112051707,2006,36,3,0,135
20060112051710,2006,36,25,25,15
20060112051722,2006,37,0,0,190
20060112051723,2006,37,0,0,240
20060112051733,2006,37,0,0,210
20060112051761,2006,37,30,0,15
20060112051764,2006,37,10,0,180
20060112051767,2006,37,20,0,60
20060112051777,2006,38,6,0,120
20060112051778,2006,38,30,0,120
20060112051780,2006,39,140,0,120
20060112051798,2006,39,0,0,180
20060112051801,2006,39,3,0,180
20060112051825,2006,39,0,0,234
20060112051829,2006,39,0,0,400
20060112051836,2006,39,90,0,90
20060112051839,2006,39,10,0,120
20060112051846,2006,40,0,0,50
20060112051852,2006,40,0,0,150
20060112051853,2006,40,10,0,90
20060112051856,2006,40,30,15,100
20060112051859,2006,40,0,0,90
20060112051877,2006,41,80,0,500
20060112051887,2006,41,20,5,700
20060112051897,2006,42,0,0,60
20060112051900,2006,42,15,0,60
20060112051916,2006,42,0,0,110
20060112051921,2006,42,60,15,210
20060112051937,2006,42,60,0,200
20060112051938,2006,42,45,10,45
20060112051941,2006,42,10,5,80
20060112051944,2006,42,30,15,60
20060112051949,2006,42,40,40,50
20060112051951,2006,42,0,0,200
20060112051961,2006,42,10,10,45
20060112051969,2006,42,15,0,20
20060112051973,2006,44,20,0,102
20060112051976,2006,45,15,5,60
20060112051980,2006,45,0,0,255
20060112051984,2006,45,15,15,0
20060112051987,2006,45,45,15,240
20060112051993,2006,45,0,0,150
20060112051996,2006,45,0,0,120
20060112051998,2006,45,40,10,240
20060112052000,2006,45,0,0,120
20060112052013,2006,46,22,9,26
20060112052039,2006,47,0,0,225
20060112052040,2006,47,0,0,30
20060112052043,2006,47,6,3,30
20060112052047,2006,47,10,5,0
20060112052055,2006,48,10,5,150
20060112052075,2006,48,0,0,150
20060112052079,2006,48,90,0,495
20060112052090,2006,48,15,15,60
20060112052095,2006,48,15,0,150
20060112052104,2006,48,585,495,60
20060112052111,2006,48,0,0,120
20060112052114,2006,48,0,0,105
20060112052117,2006,48,0,0,30
20060112052123,2006,48,0,0,60
20060112052156,2006,48,0,0,440
20060112052161,2006,48,0,0,120
20060112052167,2006,48,1840,460,40
20060112052168,2006,48,0,0,20
20060112052172,2006,48,0,0,240
20060112052181,2006,48,45,15,180
20060112052184,2006,48,0,0,810
20060112052186,2006,48,20,20,50
20060112052189,2006,48,60,0,30
20060112052195,2006,48,0,0,130
20060112052198,2006,48,60,15,135
20060112052203,2006,49,20,0,120
20060112052205,2006,49,0,0,180
20060112052207,2006,49,0,0,285
20060112052219,2006,49,0,0,345
20060112052222,2006,49,20,0,170
20060112052224,2006,50,12,2,20
20060112052229,2006,51,0,0,30
20060112052232,2006,51,0,0,330
20060112052237,2006,51,0,0,60
20060112052239,2006,51,20,0,5
20060112052241,2006,51,120,30,200
20060112052247,2006,51,0,0,225
20060112052250,2006,51,0,0,325
20060112052256,2006,51,3,0,20
20060112052272,2006,51,0,0,100
20060112052278,2006,53,0,0,135
20060112052280,2006,53,0,0,140
20060112052300,2006,53,20,0,10
20060112052311,2006,53,90,30,285
20060112052317,2006,53,0,0,60
20060112052325,2006,54,60,0,45
20060112052332,2006,55,180,45,0
20060112052333,2006,55,70,15,30
20060112052335,2006,55,0,0,1250
20060112052342,2006,55,20,0,90
20060112052343,2006,55,45,0,55
20060112052352,2006,55,10,5,150
20060112052360,2006,8,30,10,75
20060112052367,2006,8,30,0,210
20060112052369,2006,8,0,0,320
20060112052381,2006,9,0,0,280
20060112052392,2006,11,25,0,20
20060112052403,2006,19,30,0,60
20060112052407,2006,20,6,3,150
20060112052410,2006,20,0,0,280
20060112052413,2006,20,30,20,20
20060112052417,2006,21,15,0,45
20060112052424,2006,23,0,0,330
20060112052428,2006,23,0,0,810
20060112052429,2006,24,15,5,90
20060112052432,2006,24,0,0,500
20060112052435,2006,24,5,0,125
20060112052436,2006,24,0,0,160
20060112052444,2006,24,60,30,130
20060112052447,2006,24,0,0,240
20060112052450,2006,27,15,0,15
20060112052453,2006,27,0,0,60
20060112052469,2006,29,4,2,150
20060112052470,2006,29,0,0,30
20060112052481,2006,32,0,0,180
20060112052482,2006,33,0,0,180
20060112052486,2006,38,0,0,240
20060112052487,2006,40,0,0,1950
